amoblado,amount_max_bs,amount_max_usd,bathroom,baulera,bedroom,dimension,elevator,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,longitud,pool,price,status,year_built
0,40002059.0,5831204.0,5.0,0,4.0,990,0,4149,5236.14,28465,3795,26032,1,235753,1,1,-16.547079,-68.069542,0,750000,1,2003.0
0,40002059.0,5831204.0,4.0,0,5.0,329,0,2102,2640.07,14422,1923,13189,5,466029,1,1,-16.516829,-68.06210300000001,0,380000,2,
0,40002059.0,5831204.0,4.0,0,4.0,350,0,1549,1927.92,10627,1417,9719,2,269295,1,1,-16.515826999999998,-68.05761700000001,0,280000,2,2009.0
0,40002059.0,5831204.0,5.0,0,3.0,400,0,2490,3126.4,17079,2277,15619,2,267552,1,1,-16.546722,-68.087151,0,450000,2,2008.0
0,40002059.0,5831204.0,4.0,0,3.0,464,0,2490,3126.4,17079,2277,15619,0,465974,1,1,-16.546015,-68.086586,0,450000,2,
0,40002059.0,5831204.0,4.0,0,4.0,560,0,1411,1780.29,9678,1290,8851,0,465979,1,1,-16.502979,-68.082169,0,255000,2,
0,40002059.0,5831204.0,2.0,0,5.0,350,0,3320,,22772,3036,20826,4,542186,1,1,-16.544495,-68.09585600000001,0,600000,2,1980.0
0,40002059.0,5831204.0,6.0,0,7.0,570,0,2324,,15941,2125,14578,2,543481,1,1,-16.54166,-68.05275,0,420000,2,
0,40002059.0,5831204.0,5.0,0,4.0,450,0,4371,,29984,3997,27420,4,542431,1,1,-16.524893,-68.06781,0,790000,2,2013.0
0,40002059.0,5831204.0,4.0,0,4.0,500,0,6805,,46683,6223,42692,6,542289,1,1,-16.529156,-68.101334,0,1230000,2,1988.0
0,40002059.0,5831204.0,6.0,0,7.0,570,0,2324,,15941,2125,14578,2,543479,1,1,-16.54166,-68.05275,0,420000,2,
0,40002059.0,5831204.0,5.0,0,4.0,260,0,1494,,10248,1366,9371,2,542397,1,1,-16.514717,-68.055153,0,270000,1,2018.0
0,40002059.0,5831204.0,3.0,0,5.0,257,0,1378,,9456,1261,8648,1,543039,1,1,-16.519955,-68.103065,0,218000,2,1994.0
0,40002059.0,5831204.0,3.0,0,4.0,390,0,1870,,12828,1710,11732,3,542502,1,1,-16.575653,-68.125916,0,338000,1,2017.0
0,40002059.0,5831204.0,2.0,0,4.0,235,0,1454,,9976,1330,9124,2,543061,1,1,-16.515409,-68.09139300000001,0,230000,2,1994.0
0,40002059.0,5831204.0,7.0,0,4.0,620,0,4924,6283.37,33779,4503,30891,4,407318,1,1,-16.538176,-68.09174300000001,0,890000,2,2015.0
0,40002059.0,5831204.0,2.0,0,3.0,165,0,999,1087.9,6853,914,6267,1,415056,1,1,-16.525305,-68.04908,0,158000,1,2018.0
0,40002059.0,5831204.0,6.0,0,4.0,580,0,5533,6975.86,37954,5060,34709,2,428012,1,1,-16.569693,-68.098495,0,1000000,2,
0,40002059.0,5831204.0,5.0,0,4.0,475,0,2102,2616.47,14422,1923,13189,3,417639,1,1,-16.509399,-68.08551800000001,0,380000,2,
0,40002059.0,5831204.0,7.0,0,5.0,494,0,3098,4328.54,21254,2833,19437,4,105539,1,1,-16.511129,-68.05551899999999,0,560000,2,2002.0
0,40002059.0,5831204.0,6.0,0,5.0,494,0,3430,4289.97,23531,3137,21520,4,428047,1,1,-16.513044,-68.056694,0,620000,2,2007.0
0,40002059.0,5831204.0,6.0,0,4.0,480,0,4703,5852.63,32261,4301,29503,5,421739,1,1,-16.55986,-68.093781,0,850000,2,
0,40002059.0,5831204.0,5.0,0,4.0,362,0,1604,2000.05,11007,1467,10066,1,434022,1,1,-16.558542000000003,-68.093262,0,290000,2,
0,40002059.0,5831204.0,5.0,0,4.0,480,0,3486,4344.94,23911,3188,21867,4,441501,1,1,-16.513536,-68.06004300000001,0,630000,2,2006.0
0,40002059.0,5831204.0,5.0,0,3.0,401,0,2988,3724.23,20495,2732,18743,3,440051,1,1,-16.571213,-68.091972,0,540000,2,1990.0
0,40002059.0,5831204.0,4.0,0,4.0,310,0,1454,,9976,1330,9124,2,540416,1,1,-16.520325,-68.105598,0,230000,2,2010.0
0,40002059.0,5831204.0,3.0,0,7.0,345,0,1581,,10844,1446,9917,3,541047,1,1,-16.488766000000002,-68.116264,0,250000,2,
0,40002059.0,5831204.0,8.0,0,6.0,750,0,4288,,29414,3921,26900,4,541243,1,1,-16.495338,-68.14840699999999,0,775000,2,
0,40002059.0,5831204.0,8.0,0,5.0,519,0,3320,,22772,3036,20826,1,540888,1,1,-16.513247,-68.122124,0,600000,2,
0,40002059.0,5831204.0,3.0,0,3.0,629,0,7580,,51997,6932,47552,3,541691,1,1,-16.54397,-68.079086,0,1370000,2,
0,40002059.0,5831204.0,2.0,0,4.0,400,0,3043,,20875,2783,19090,0,541291,1,1,-16.494526,-68.134377,0,550000,2,
0,40002059.0,5831204.0,4.0,0,4.0,318,0,1359,,9326,1243,8529,2,541264,1,1,-16.494156,-68.15522800000001,0,215000,2,
0,46605679.0,6793831.0,4.0,0,4.0,327,0,806,,5531,735,5042,0,541083,1,1,-16.504194000000002,-68.14325699999999,0,130000,2,
0,40002059.0,5831204.0,7.0,0,8.0,1174,0,8576,,58828,7842,53799,6,541705,1,1,-16.541216,-68.086235,0,1550000,2,
0,40002059.0,5831204.0,5.0,0,4.0,251,0,1538,,10551,1407,9649,2,543792,1,1,-16.526352,-68.062889,0,278000,1,2018.0
0,40002059.0,5831204.0,4.0,0,4.0,436,0,3154,,21634,2884,19784,2,542185,1,1,-16.531269,-68.095062,0,570000,2,
0,40002059.0,5831204.0,4.0,0,6.0,620,0,2490,,17079,2277,15619,5,544808,1,1,-16.517042,-68.086288,0,450000,2,1984.0
0,40002059.0,5831204.0,3.0,0,4.0,378,0,917,,6290,838,5752,1,544480,1,1,-16.511274,-68.08064300000001,0,145000,1,
0,40002059.0,5831204.0,5.0,0,5.0,391,0,1391,,9543,1272,8727,2,544884,1,1,-16.54143,-68.057358,0,220000,2,
0,40002059.0,5831204.0,4.0,0,4.0,260,0,1632,,11196,1493,10239,5,544241,1,1,-16.580215,-68.123451,0,295000,2,2013.0
0,40002059.0,5831204.0,3.0,0,2.0,160,0,1660,2084.27,11386,1518,10413,0,463419,1,1,-16.513288,-68.13205699999999,0,300000,2,1980.0
0,40002059.0,5831204.0,4.0,0,3.0,152,0,942,1035.19,6463,862,5910,3,465642,1,1,-16.547148,-68.045662,0,149000,2,
0,40002059.0,5831204.0,6.0,0,4.0,1400,0,9405,11724.43,64522,8601,59006,6,447242,1,1,-16.547047,-68.08815799999999,0,1700000,1,
0,40002059.0,5831204.0,4.0,0,3.0,241,0,1577,1980.05,10817,1442,9892,2,460751,1,1,-16.514803,-68.057266,0,285000,2,
0,40002059.0,5831204.0,4.0,0,4.0,377,0,1494,1875.84,10248,1366,9371,2,458414,1,1,-16.534229,-68.102592,0,270000,2,
