amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,latitud,longitud,price,status,year_built,riesgo__alto,riesgo__bajo,riesgo__moderado,riesgo__muy bajo,neighborhood_encoded
0,3.0,0,3.0,190,220,2,-16.514442000000006,-68.054077,188000.0,1,2019.0,1,0,0,0,5
0,5.0,0,3.0,400,300,3,-16.515982,-68.08805100000001,300000.0,2,2014.0,0,0,1,0,4
0,6.0,0,4.0,581,440,2,-16.551057999999998,-68.08557900000001,500000.0,2,2017.0,0,0,1,0,17
0,5.0,0,3.0,295,320,3,-16.538839000000007,-68.047729,260000.0,2,2014.0,0,1,0,0,15
0,5.0,0,3.0,500,646,3,-16.512541,-68.057106,550000.0,2,2014.0,1,0,0,0,5
0,2.0,0,2.0,200,308,2,-16.532688,-68.074715,350000.0,2,2011.0,1,0,0,0,5
0,6.0,0,4.0,413,424,2,-16.551336,-68.070038,360000.0,2,,0,1,0,0,16
0,5.0,0,4.0,420,425,1,-16.516829,-68.064293,550000.0,2,,1,0,0,0,5
0,5.0,0,3.0,406,360,2,-16.548426,-68.08575400000001,483800.0,1,2019.0,0,0,1,0,17
0,8.0,0,6.0,380,653,5,-16.525345,-68.104698,465000.0,2,1988.0,0,1,0,0,18
0,5.0,0,4.0,260,300,2,-16.514154,-68.058319,370000.0,2,,1,0,0,0,5
0,3.0,0,3.0,187,390,2,-16.544007999999998,-68.054024,240000.0,2,,0,1,0,0,15
0,4.0,0,3.0,280,308,2,-16.532463,-68.07330300000001,360000.0,2,2014.0,1,0,0,0,5
0,5.0,0,4.0,470,385,2,-16.535742000000006,-68.07465400000001,369000.0,2,,1,0,0,0,5
0,3.0,0,9.0,678,510,2,-16.539618,-68.096535,420000.0,2,1975.0,0,1,0,0,19
0,4.0,0,3.0,444,512,4,-16.544447,-68.065163,470000.0,2,,0,0,1,0,2
0,7.0,0,4.0,604,812,4,-16.549946,-68.07412,865000.0,2,2013.0,0,1,0,0,16
0,4.0,0,4.0,209,430,3,-16.531843,-68.037132,280000.0,2,2018.0,0,0,1,0,23
0,4.0,0,3.0,271,300,2,-16.556795,-68.093498,200000.0,2,2009.0,0,0,1,0,3
0,4.0,0,4.0,280,500,3,-16.543776,-68.069511,430000.0,2,2000.0,0,0,1,0,2
0,5.0,0,4.0,330,444,3,-16.522072,-68.062073,395000.0,2,,1,0,0,0,5
0,3.0,0,3.0,183,300,2,-16.522054999999998,-68.054893,168000.0,2,,1,0,0,0,5
0,6.0,0,5.0,280,300,3,-16.514523999999998,-68.05901300000001,320000.0,2,2012.0,1,0,0,0,5
0,1.0,0,5.0,320,401,3,-16.542665,-68.06809200000001,460000.0,2,,0,1,0,0,6
0,6.0,0,4.0,345,351,3,-16.514828,-68.060257,360000.0,2,,1,0,0,0,5
0,3.0,0,9.0,570,300,5,-16.514051000000002,-68.12796,360000.0,2,1990.0,0,0,1,0,10
0,3.0,0,3.0,308,352,3,-16.549068,-68.073402,250000.0,2,1999.0,0,1,0,0,16
0,3.0,0,4.0,400,600,3,-16.527134,-68.086929,600000.0,2,1994.0,0,0,1,0,4
0,6.0,0,3.0,300,500,3,-16.550678,-68.085625,440000.0,1,2010.0,0,0,1,0,17
0,5.0,0,5.0,530,1080,5,-16.529293,-68.102722,1100000.0,2,1997.0,0,1,0,0,18
0,3.0,0,3.0,442,459,3,-16.539442,-68.08094799999999,775000.0,2,,0,1,0,0,22
0,6.0,0,4.0,375,330,2,-16.546511,-68.069405,410000.0,2,,0,1,0,0,6
0,3.0,0,3.0,398,690,3,-16.518887,-68.06175999999999,720000.0,2,,1,0,0,0,5
0,4.0,0,12.0,400,630,2,-16.543734,-68.068993,780000.0,2,1994.0,0,0,1,0,2
0,2.0,0,3.0,180,300,4,-16.522734,-68.05980699999999,168000.0,2,2013.0,1,0,0,0,5
0,4.0,0,4.0,436,685,2,-16.531269,-68.095062,570000.0,2,,0,0,1,0,24
0,5.0,0,4.0,462,300,3,-16.52046,-68.062073,380000.0,2,2009.0,1,0,0,0,5
0,5.0,0,6.0,300,170,2,-16.492722,-68.09992199999999,163000.0,1,2019.0,0,1,0,0,8
0,5.0,0,5.0,371,382,2,-16.541605,-68.057381,320000.0,2,,0,0,1,0,2
0,8.0,0,14.0,600,102,1,-16.512918,-68.140167,460000.0,2,2005.0,0,0,1,0,25
0,5.0,0,16.0,699,241,1,-16.511629,-68.12162,950000.0,2,1970.0,0,0,0,1,26
0,5.0,0,6.0,394,500,2,-16.52673,-68.063828,460000.0,2,1997.0,1,0,0,0,5
0,6.0,0,5.0,380,300,4,-16.568037,-68.101189,328000.0,2,2015.0,1,0,0,0,21
0,5.0,0,4.0,374,400,2,-16.517032999999998,-68.087242,315000.0,2,,0,0,1,0,4
0,6.0,0,3.0,378,312,2,-16.562859,-68.103386,290000.0,2,,1,0,0,0,21
0,3.0,0,5.0,700,318,0,-16.522909,-68.05855600000001,480000.0,2,,1,0,0,0,5
0,5.0,0,5.0,550,850,3,-16.547911,-68.067444,750000.0,2,1994.0,0,1,0,0,16
0,4.0,0,3.0,300,420,3,-16.514046,-68.059212,237000.0,2,,1,0,0,0,5
0,6.0,0,4.0,378,230,2,-16.557436,-68.104431,299000.0,2,,0,0,1,0,3
0,7.0,0,4.0,400,637,4,-16.536821,-68.097122,480000.0,1,2003.0,0,1,0,0,19
0,5.0,0,4.0,490,329,3,-16.521314999999998,-68.061523,350000.0,2,2007.0,1,0,0,0,5
0,2.0,0,4.0,280,300,2,-16.521849,-68.060905,165000.0,2,,1,0,0,0,5
0,5.0,0,4.0,0,458,2,-16.528246,-68.102898,700000.0,2,,0,1,0,0,18
0,13.0,0,10.0,924,1450,2,-16.564792999999998,-68.112801,980000.0,2,1998.0,1,0,0,0,21
0,7.0,0,4.0,560,600,4,-16.557596,-68.102875,385000.0,1,2019.0,0,0,1,0,3
0,5.0,0,5.0,300,370,2,-16.536985,-68.04244200000001,270000.0,2,2005.0,0,1,0,0,15
0,3.0,0,4.0,305,150,2,-16.517692999999998,-68.078026,230000.0,2,2016.0,0,1,0,0,11
0,5.0,0,5.0,550,1100,4,-16.541122,-68.087875,1600000.0,2,2007.0,0,1,0,0,6
0,8.0,0,6.0,690,494,2,-16.544395,-68.065979,610000.0,2,,0,0,1,0,2
0,6.0,0,5.0,477,360,3,-16.542171,-68.076035,445000.0,2,,0,1,0,0,6
0,7.0,0,9.0,423,350,3,-16.510656,-68.061501,198000.0,1,,1,0,0,0,5
0,7.0,0,5.0,425,400,3,-16.523042999999998,-68.06691,485000.0,2,2010.0,1,0,0,0,5
0,4.0,0,3.0,190,380,2,-16.530199,-68.051765,165000.0,2,2009.0,1,0,0,0,5
0,3.0,0,9.0,416,500,0,-16.497734,-68.090775,330000.0,2,,1,0,0,0,28
0,4.0,0,3.0,271,312,2,-16.539755,-68.05764,270000.0,2,,0,0,1,0,2
0,4.0,0,4.0,700,400,2,-16.53055,-68.07643900000001,430000.0,2,,1,0,0,0,5
0,4.0,0,5.0,280,650,4,-16.521725,-68.060249,340000.0,2,2009.0,1,0,0,0,5
0,4.0,0,11.0,310,0,1,-16.512894,-68.120224,420000.0,2,1959.0,0,0,0,1,26
0,4.0,0,3.0,280,320,2,-16.519669,-68.06532299999999,240000.0,2,2010.0,1,0,0,0,5
0,3.0,0,4.0,209,161,1,-16.563347,-68.105347,199000.0,1,2019.0,1,0,0,0,21
0,3.0,0,5.0,571,380,2,-16.522629000000002,-68.114052,380000.0,2,1984.0,0,1,0,0,18
0,5.0,0,5.0,430,300,3,-16.525328,-68.061653,260000.0,1,2019.0,1,0,0,0,5
0,4.0,0,4.0,304,688,3,-16.541842000000006,-68.061913,560000.0,2,2008.0,0,0,1,0,2
0,6.0,0,4.0,592,313,2,-16.54859,-68.086952,650000.0,2,2014.0,0,0,1,0,17
0,6.0,0,4.0,580,650,2,-16.525839,-68.06405600000001,490000.0,2,2000.0,1,0,0,0,5
0,4.0,0,3.0,260,150,2,-16.508095,-68.053833,210000.0,1,2019.0,1,0,0,0,5
0,4.0,0,4.0,316,385,3,-16.535045999999998,-68.069473,270000.0,2,2002.0,1,0,0,0,5
0,5.0,0,3.0,308,351,4,-16.548328,-68.07034300000001,240000.0,2,,0,1,0,0,16
0,4.0,0,3.0,292,200,3,-16.540398,-68.06279,235000.0,2,1997.0,0,0,1,0,2
0,1.0,0,2.0,60,300,0,-16.576069,-68.08300799999999,47000.0,1,2016.0,1,0,0,0,30
0,5.0,0,3.0,450,360,2,-16.548426,-68.086845,545000.0,1,2019.0,0,0,1,0,17
0,6.0,0,4.0,550,600,4,-16.518805,-68.059784,830000.0,2,2012.0,1,0,0,0,5
0,7.0,0,5.0,485,300,2,-16.550635999999994,-68.069687,277000.0,1,,0,1,0,0,16
0,6.0,0,5.0,600,400,5,-16.537172,-68.072449,660000.0,2,,0,1,0,0,6
0,3.0,0,4.0,308,219,2,-16.563323999999998,-68.105347,252000.0,1,2019.0,1,0,0,0,21
0,3.0,0,4.0,205,219,2,-16.563457,-68.105331,211000.0,1,2019.0,1,0,0,0,21
0,5.0,0,4.0,252,200,2,-16.563285999999998,-68.105133,222000.0,1,2019.0,1,0,0,0,21
