address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
San Pedro - calle Nicolas Acosta,0,40002059,5831204,ENABLED,5,0,20,UC-551888, no social con 20% de aporte propio. ,29/04/2019,470,571,0,Inmediata,3043,,20875,2783,19090,1,551888,45,1,1,-16.506088,La Paz,-68.138535,$us,San Pedro,0,550000,La Paz,2,Casa,Venta,,
FCD58 – CASAS EN VENTA UMAMANTA,0,40002059,5831204,ENABLED,3,0,3,UC-466159, no social con 20% de aporte propio. ,24/04/2019,232,0,0,Inmediata,1391,1528.46,9543,1272,8727,2,466159,179,1,1,-16.607626,La Paz,-68.070259,$us,Río Abajo,0,220000,La Paz,2,Casa,Venta,,
"CASA EN VENTA PAMPAHASI (CV 082), LADO CERVECERÍA",0,40002059,5831204,ENABLED,3,0,7,UC-551253, no social con 20% de aporte propio. ,26/04/2019,195,250,0,Inmediata,1138,,7808,1041,7140,2,551253,43,1,1,-16.498272,La Paz,-68.103287,$us,Pampahasi,0,180000,La Paz,2,Casa,Venta,,
A  1 cuadra de la plaza de Bolognia ,0,40002059,5831204,ENABLED,2,0,4,UC-551899, no social con 20% de aporte propio. ,29/04/2019,235,497,0,Inmediata,1454,,9976,1330,9124,2,551899,31,1,1,-16.514997,La Paz,-68.091141,$us,Bolognia,0,230000,La Paz,2,Casa,Venta,,1994
"SOPOCACHI, 20 de Octubre, La Paz",0,40002059,5831204,ENABLED,2,0,3,UC-525084, no social con 20% de aporte propio. ,29/04/2019,0,350,0,Inmediata,1826,,12525,1670,11454,2,525084,47,1,1,-16.513016,La Paz,-68.123688,$us,Sopocachi,0,330000,La Paz,2,Casa,Venta,,
"Av. Javier del Granado, Urb. Sierra Blanca, No.9, Lomas de Achumani, La Paz",0,40002059,5831204,ENABLED,4,0,4,UC-551747, no social con 20% de aporte propio. ,29/04/2019,200,300,0,Inmediata,1296,,8892,1185,8132,2,551747,29,1,1,-16.521746,La Paz,-68.05545,$us,Achumani,0,205000,La Paz,1,Casa,Venta,,2018
"Alto Irpavi, Av. Principal",0,40002059,5831204,ENABLED,4,0,3,UC-551545, no social con 20% de aporte propio. ,27/04/2019,337,300,0,01/2019,1581,,10844,1446,9917,5,551545,180,1,1,-16.516335,La Paz,-68.083603,$us,Alto Irpavi,0,250000,La Paz,2,Casa,Venta,,
A 2 cuadras de la plaza del Ingenierio ,0,40002059,5831204,ENABLED,3,0,5,UC-551896, no social con 20% de aporte propio. ,29/04/2019,257,200,0,Inmediata,1378,,9456,1261,8648,1,551896,30,1,1,-16.519812,La Paz,-68.102852,$us,Alto Obrajes,0,218000,La Paz,2,Casa,Venta,,
Huajchilla,0,40002059,5831204,ENABLED,3,0,4,UC-551768, no social con 20% de aporte propio. ,28/04/2019,335,448,0,05/2019,1391,,9543,1272,8727,2,551768,54,1,1,-16.665884,La Paz,-68.013588,$us,Mecapaca,0,220000,La Paz,2,Casa,Venta,,2005
"ALTO OBRAJES ,calle Nora Bedregal",0,38803456,5656480,ENABLED,4,0,6,UC-7283, no social con 20% de aporte propio. ,21/01/2016,0,204,0,Inmediata,1511,,10368,1359,9321,1,7283,32,1,1,-16.539158,La Paz,-68.081146,$us,Calacoto,0,265000,La Paz,2,Casa,Venta,,
