address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension_built,dimension_ground,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_neighborhood,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
"FDV11089 – DEPARTAMENTO EN VENTA, COSTANERA",0,40002059,5831204,ENABLED,3,0,3,UC-465916, no social con 20% de aporte propio. ,24/04/2019,176,0,0,Inmediata,1201,1320.04,8241,1099,7537,0,465916,241,2,1,-16.536358,La Paz,-68.096138,$us,Bella Vista,0,190000,La Paz,2,Departamento,Venta,,
"FDV11050 – DEPARTAMENTO EN VENTA, ACHUMANI",0,40002059,5831204,ENABLED,2,1,3,UC-308004, no social con 20% de aporte propio. ,24/04/2019,159,0,0,Inmediata,917,1109.03,6290,838,5752,1,308004,29,2,1,-16.533754,La Paz,-68.071671,$us,Achumani,0,145000,La Paz,2,Departamento,Venta,,
"FDV11088 – DEPARTAMENTO EN VENTA, COSTANERA",0,40002059,5831204,ENABLED,3,0,3,UC-465917, no social con 20% de aporte propio. ,24/04/2019,190,0,0,Inmediata,1265,1389.51,8675,1156,7934,0,465917,241,2,1,-16.536358,La Paz,-68.096138,$us,Bella Vista,0,200000,La Paz,2,Departamento,Venta,,
"FDV11077 – DEPARTAMENTO EN VENTA, COSTANERA",0,40002059,5831204,ENABLED,3,0,3,UC-308002, no social con 20% de aporte propio. ,24/04/2019,222,0,0,Inmediata,1486,1797.39,10193,1359,9322,2,308002,241,2,1,-16.536358,La Paz,-68.096138,$us,Bella Vista,0,235000,La Paz,2,Departamento,Venta,,
"FDV11466 – DEPARTAMENTOS EN VENTA, JUPAPINA",0,44130787,6433059,ENABLED,2,0,2,UC-465898, social. ,24/04/2019,94,0,0,Inmediata,407,493.28,2792,366,2511,0,465898,179,2,1,-16.594221,La Paz,-68.070107,$us,Río Abajo,0,71000,La Paz,2,Departamento,Venta,,
"FDV11266 – DEPARTAMENTO EN VENTA, OBRAJES",0,40002059,5831204,ENABLED,4,1,3,UC-310743, no social con 20% de aporte propio. ,24/04/2019,220,0,0,Inmediata,1233,1344.86,8458,1128,7735,0,310743,42,2,1,-16.526533,La Paz,-68.107124,$us,Obrajes,0,195000,La Paz,2,Departamento,Venta,,
"FDV11266 – DEPARTAMENTO EN VENTA, OBRAJES",0,40002059,5831204,ENABLED,4,1,3,UC-465905, no social con 20% de aporte propio. ,24/04/2019,220,0,0,Inmediata,1233,1354.77,8458,1128,7735,0,465905,42,2,1,-16.526533,La Paz,-68.107124,$us,Obrajes,0,195000,La Paz,2,Departamento,Venta,,
"FDV11466 – DEPARTAMENTOS EN VENTA, JUPAPINA",0,44130787,6433059,ENABLED,2,0,2,UC-315633, social. ,24/04/2019,94,0,0,Inmediata,407,539.73,2792,366,2511,0,315633,179,2,1,-16.594221,La Paz,-68.070107,$us,Río Abajo,0,71000,La Paz,1,Departamento,Venta,,
"FDV11088 – DEPARTAMENTO EN VENTA, COSTANERA",0,40002059,5831204,ENABLED,3,0,3,UC-308001, no social con 20% de aporte propio. ,24/04/2019,190,0,0,Inmediata,1265,1529.70,8675,1156,7934,0,308001,241,2,1,-16.536358,La Paz,-68.096138,$us,Bella Vista,0,200000,La Paz,2,Departamento,Venta,,
Inmediaciones c. 22 de Achumani,0,40002059,5831204,ENABLED,4,0,4,UC-290428, no social con 20% de aporte propio. ,29/04/2019,210,0,0,Inmediata,1258,1495.43,8632,1151,7894,1,290428,29,2,1,-16.521923,La Paz,-68.062393,$us,Achumani,0,199000,La Paz,2,Departamento,Venta,,
"FDV10716 – GARZONIERS “A” EN PREVENTA, CALACOTO",0,48463835,7064699,ENABLED,1,1,1,UC-465940, social. ,24/04/2019,68,0,0,Inmediata,569,665.59,3904,515,3536,0,465940,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,95413,La Paz,2,Departamento,Venta,,
"FDV10052 – GARZONIER EN VENTA, MONTENEGRO",0,48463835,7064699,ENABLED,1,0,1,UC-290421, social. ,24/04/2019,60,0,0,Inmediata,567,713.90,3887,513,3520,0,290421,237,2,1,-16.542604,La Paz,-68.078056,$us,San Miguel,0,95000,La Paz,2,Departamento,Venta,,
"FDV10653 – DEPARTAMENTO EN VENTA, CALACOTO",0,40002059,5831204,ENABLED,2,1,2,UC-465944, no social con 20% de aporte propio. ,24/04/2019,73,0,0,Inmediata,854,937.92,5856,781,5355,1,465944,32,2,1,-16.54298,La Paz,-68.085014,$us,Calacoto,0,135000,La Paz,2,Departamento,Venta,,
