address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
"BOLOGNIA, MUY BUENA UBICACION",0,40002059,5831204,ENABLED,2,0,4,UC-548815, no social con 20% de aporte propio. ,19/04/2019,240,0,05/2019,1359,,9326,1243,8529,1,548815,1,1,-16.522011,La Paz,-68.090256,$us,Bolognia,0,215000,La Paz,2,Casa,Venta,,
CASA EN VENTA LA FLORIDA,0,40002059,5831204,ENABLED,4,0,3,UC-191547, no social con 20% de aporte propio. ,19/10/2018,423,0,Inmediata,2822,3791.18,19356,2580,17702,3,191547,1,1,-16.539234,La Paz,-68.086716,$us,Calacoto,0,510000,La Paz,1,Casa,Venta,,2017
CENTRO DE ACHUMANI,0,40002059,5831204,ENABLED,6,0,4,UC-70998, no social con 20% de aporte propio. ,22/02/2019,360,0,Inmediata,3486,4131.27,23911,3188,21867,3,70998,1,1,-16.516603,La Paz,-68.061501,$us,Achumani,0,630000,La Paz,2,Casa,Venta,,2008
CASA CALACOTO,0,40002059,5831204,ENABLED,5,0,4,UC-105072, no social con 20% de aporte propio. ,19/10/2018,500,0,Inmediata,4703,5852.63,32261,4301,29503,4,105072,1,1,-16.540155,La Paz,-68.085892,$us,Calacoto,0,850000,La Paz,1,Casa,Venta,,2001
FCD58 – CASAS EN VENTA UMAMANTA,0,40002059,5831204,ENABLED,3,0,3,UC-466159, no social con 20% de aporte propio. ,24/04/2019,232,0,Inmediata,1391,1528.46,9543,1272,8727,2,466159,1,1,-16.607626,La Paz,-68.070259,$us,Río Abajo,0,220000,La Paz,2,Casa,Venta,,
CASA EN VENTA COTA COTA,0,40002059,5831204,ENABLED,6,0,4,UC-157704, no social con 20% de aporte propio. ,22/08/2017,1461,0,Inmediata,5422,,37195,4958,34015,3,157704,1,1,-16.542698,La Paz,-68.062912,$us,Cota Cota,0,980000,La Paz,2,Casa,Venta,,2000
"FCV3524 – CASA EN VENTA, MIRAFLORES",0,40002059,5831204,ENABLED,5,0,5,UC-167709, no social con 20% de aporte propio. ,24/04/2019,433,0,Inmediata,2047,2726.97,14043,1872,12842,1,167709,1,1,-16.502962,La Paz,-68.117294,$us,Miraflores,0,370000,La Paz,2,Casa,Venta,,
ACHUMANI,0,40002059,5831204,ENABLED,4,0,5,UC-547407, no social con 20% de aporte propio. ,15/04/2019,250,0,01/2020,1069,,7331,977,6704,3,547407,1,1,-16.514275,La Paz,-68.051361,$us,Achumani,0,169000,La Paz,1,Casa,Venta,,2019
"SEQOIA, Zona Sur, La Paz-Bolivia",0,40002059,5831204,ENABLED,5,0,4,UC-548506, no social con 20% de aporte propio. ,26/04/2019,500,0,Inmediata,1986,,13625,1816,12461,2,548506,1,1,-16.544453,La Paz,-68.07309,$us,Los Pinos,0,359000,La Paz,2,Casa,Venta,,
CASA EN VENTA LAS LOMAS DE ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-224412, no social con 20% de aporte propio. ,27/01/2019,625,0,Inmediata,1604,2117.32,11007,1467,10066,3,224412,1,1,-16.517809,La Paz,-68.051636,$us,Achumani,0,290000,La Paz,2,Casa,Venta,,2015
Calle MEJICO entre Nicolas Acosta y Otero de la Vega,0,40002059,5831204,ENABLED,4,0,20,UC-547347, no social con 20% de aporte propio. ,20/04/2019,600,0,Inmediata,4979,,34158,4554,31238,0,547347,1,1,-16.501877,La Paz,-68.133598,$us,San Pedro,0,900000,La Paz,2,Casa,Venta,,
Urbanización Mirador casa # 4,0,40002059,5831204,ENABLED,3,0,4,UC-547636, no social con 20% de aporte propio. ,16/04/2019,360,0,Inmediata,2213,,15182,2024,13884,2,547636,1,1,-16.534983,La Paz,-68.069778,$us,Achumani,0,400000,La Paz,2,Casa,Venta,,2005
CASA EN VENTA COTA COTA (Calle 27),0,40002059,5831204,ENABLED,4,1,3,UC-548040, no social con 20% de aporte propio. ,26/04/2019,291,0,Inmediata,1486,,10193,1359,9322,3,548040,1,1,-16.542147,La Paz,-68.068962,$us,Cota Cota,0,235000,La Paz,2,Casa,Venta,,1997
Casa  en venta achumani,0,40002059,5831204,ENABLED,6,0,4,UC-548146, no social con 20% de aporte propio. ,17/04/2019,590,0,Inmediata,2213,,15182,2024,13884,2,548146,1,1,-16.512695,La Paz,-68.061394,$us,Achumani,0,400000,La Paz,1,Casa,Venta,,2017
