address,amoblado,amount_max_bs,amount_max_usd,availability,bathroom,baulera,bedroom,code,credit_type,date_released,dimension,elevator,fecentrega,fee,fee_bnb_usd,fee_bs,fee_regular,fee_regular_bs,garage,id,id_type,id_type_offer,latitud,location,longitud,moneda,neighborhood,pool,price,region,status,type,type_offer,warranty,year_built
FDV26921 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,48463835,7064699,ENABLED,2,0,2,UC-514535, social. ,24/04/2019,80,0,Inmediata,656,767.97,4501,594,4076,1,514535,2,1,-16.501972,La Paz,-68.119553,$us,Miraflores,0,110000,La Paz,2,Departamento,Venta,,
"Sopocachi, Avenida Arce",0,40002059,5831204,ENABLED,5,0,4,UC-518719, no social con 20% de aporte propio. ,15/03/2019,376,0,Inmediata,2158,2932.24,14802,1973,13537,1,518719,2,1,-16.512283,La Paz,-68.121994,$us,Sopocachi,0,390000,La Paz,2,Departamento,Venta,,1999
FDV27624 – COMPRA ESTE PENTHOUSE EN OBRAJES,0,40002059,5831204,ENABLED,5,1,4,UC-517429, no social con 20% de aporte propio. ,24/04/2019,272,0,Inmediata,1438,2129.36,9868,1316,9024,2,517429,2,1,-16.524199,La Paz,-68.1119,$us,Obrajes,0,260000,La Paz,2,Departamento,Venta,,
FDV26785 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,48463835,7064699,ENABLED,2,0,2,UC-514539, social. ,24/04/2019,81,0,Inmediata,695,812.98,4765,629,4315,1,514539,2,1,-16.498596,La Paz,-68.119331,$us,Miraflores,0,116448,La Paz,2,Departamento,Venta,,
FDV26973 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,40002059,5831204,ENABLED,2,0,2,UC-514534, no social con 20% de aporte propio. ,24/04/2019,113,0,Inmediata,1132,1249.69,7764,1035,7101,1,514534,2,1,-16.501902,La Paz,-68.122894,$us,Miraflores,0,179000,La Paz,2,Departamento,Venta,,
FDV26973 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,40002059,5831204,ENABLED,2,0,2,UC-514533, no social con 20% de aporte propio. ,24/04/2019,113,0,Inmediata,1132,1249.69,7764,1035,7101,1,514533,2,1,-16.504208,La Paz,-68.123344,$us,Miraflores,0,179000,La Paz,2,Departamento,Venta,,
FDV26921 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,48463835,7064699,ENABLED,2,0,2,UC-514536, social. ,24/04/2019,80,0,Inmediata,656,767.97,4501,594,4076,1,514536,2,1,-16.500013,La Paz,-68.123055,$us,Miraflores,0,110000,La Paz,2,Departamento,Venta,,
Alto Calacoto  Los Pinos calle 28  ,0,44130787,6433059,ENABLED,2,0,1,UC-499522, social. ,23/04/2019,62,0,Inmediata,373,491.27,2556,335,2298,0,499522,2,1,-16.539743,La Paz,-68.073975,$us,Calacoto,0,65000,La Paz,2,Departamento,Venta,,
FDV26901 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,48463835,7064699,ENABLED,2,0,2,UC-514538, social. ,24/04/2019,75,0,Inmediata,617,722.38,4234,559,3834,1,514538,2,1,-16.501829,La Paz,-68.123596,$us,Miraflores,0,103470,La Paz,2,Departamento,Venta,,
FDV25752 – COMPRA TU PENTHOUSE EN KOANI,0,40002059,5831204,ENABLED,4,0,3,UC-509873, no social con 20% de aporte propio. ,24/04/2019,210,0,Inmediata,1043,1151.95,7157,954,6545,1,509873,2,1,-16.529917,La Paz,-68.07869,$us,Koani,0,165000,La Paz,2,Departamento,Venta,,
FDV26901 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,48463835,7064699,ENABLED,2,0,2,UC-514537, social. ,24/04/2019,75,0,Inmediata,617,722.38,4234,559,3834,1,514537,2,1,-16.501192,La Paz,-68.121323,$us,Miraflores,0,103470,La Paz,2,Departamento,Venta,,
FDV26837 – COMPRA TU DEPARTAMENTO EN MIRAFLORES,0,40002059,5831204,ENABLED,3,0,3,UC-514532, no social con 20% de aporte propio. ,24/04/2019,145,0,Inmediata,1537,1697.21,10545,1406,9643,1,514532,2,1,-16.504063,La Paz,-68.123001,$us,Miraflores,0,243100,La Paz,2,Departamento,Venta,,
FDV25102 – COMPRA TU DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,3,0,3,UC-504984, no social con 20% de aporte propio. ,24/04/2019,137,0,Inmediata,1043,1151.02,7157,954,6545,0,504984,2,1,-16.530279,La Paz,-68.085136,$us,Irpavi,0,165000,La Paz,2,Departamento,Venta,,
FDV24434 – COMPRA TU DEPARTAMENTO Y LOCAL COMERCIAL EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,3,UC-505003, no social con 20% de aporte propio. ,17/03/2019,144,0,Inmediata,1062,1171.94,7287,971,6664,1,505003,2,1,-16.529671,La Paz,-68.070366,$us,Achumani,0,168000,La Paz,2,Departamento,Venta,,
Calle 30 #1000,0,48463835,7064699,ENABLED,3,0,3,UC-504264, social. ,20/04/2019,103,0,Inmediata,585,684.19,4010,529,3631,1,504264,2,1,-16.541924,La Paz,-68.062424,$us,Cota Cota,0,98000,La Paz,2,Departamento,Venta,,2005
FDV23686 – COMPRA TU DEPARTAMENTO EN AUQUISAMAÑA,0,40002059,5831204,ENABLED,2,1,1,UC-504990, no social con 20% de aporte propio. ,24/04/2019,143,0,Inmediata,1309,1444.00,8979,1197,8211,1,504990,2,1,-16.549543,La Paz,-68.074547,$us,Auquisamaña,0,207000,La Paz,2,Departamento,Venta,,
FDV24870 – COMPRA TU DEPARTAMENTO EN IRPAVI,0,48463835,7064699,ENABLED,2,0,2,UC-505014, social. ,12/03/2019,83,0,Inmediata,583,682.24,4002,528,3624,1,505014,2,1,-16.516581,La Paz,-68.086258,$us,Irpavi,0,97800,La Paz,2,Departamento,Venta,,
FDV25102 – COMPRA TU DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,3,0,3,UC-504985, no social con 20% de aporte propio. ,24/04/2019,137,0,Inmediata,1043,1151.02,7157,954,6545,0,504985,2,1,-16.530279,La Paz,-68.085136,$us,Irpavi,0,165000,La Paz,2,Departamento,Venta,,
FDV23686 – COMPRA TU DEPARTAMENTO EN AUQUISAMAÑA,0,40002059,5831204,ENABLED,2,1,1,UC-504989, no social con 20% de aporte propio. ,24/04/2019,143,0,Inmediata,1309,1444.00,8979,1197,8211,1,504989,2,1,-16.549543,La Paz,-68.074547,$us,Auquisamaña,0,207000,La Paz,2,Departamento,Venta,,
FDV25127 – COMPRA TU DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,3,0,3,UC-504976, no social con 20% de aporte propio. ,24/04/2019,137,0,Inmediata,1043,1151.02,7157,954,6545,0,504976,2,1,-16.530069,La Paz,-68.085144,$us,Irpavi,0,165000,La Paz,2,Departamento,Venta,,
ACHUMANI,0,40002059,5831204,ENABLED,4,0,4,UC-505065, no social con 20% de aporte propio. ,26/02/2019,165,0,Inmediata,1031,1178.92,7070,943,6466,1,505065,2,1,-16.519627,La Paz,-68.06382,$us,Achumani,0,163000,La Paz,2,Departamento,Venta,,2012
FDV25127 – COMPRA TU DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,3,0,3,UC-504977, no social con 20% de aporte propio. ,24/04/2019,137,0,Inmediata,1043,1151.02,7157,954,6545,0,504977,2,1,-16.530069,La Paz,-68.085144,$us,Irpavi,0,165000,La Paz,2,Departamento,Venta,,
FDV24253 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,3,1,2,UC-505034, no social con 20% de aporte propio. ,24/04/2019,147,0,Inmediata,1005,1109.16,6897,919,6307,1,505034,2,1,-16.517349,La Paz,-68.060921,$us,Achumani,0,159000,La Paz,2,Departamento,Venta,,
FDV24132 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,4,UC-502270, no social con 20% de aporte propio. ,23/04/2019,167,0,Inmediata,835,962.67,5726,763,5236,1,502270,2,1,-16.524649,La Paz,-68.054298,$us,Achumani,0,132000,La Paz,2,Departamento,Venta,,
FDV24130 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,4,0,4,UC-502267, no social con 20% de aporte propio. ,23/04/2019,167,0,Inmediata,809,941.74,5552,740,5077,1,502267,2,1,-16.524649,La Paz,-68.054298,$us,Achumani,0,128000,La Paz,2,Departamento,Venta,,
FDV24299 – COMPRA TU DEPARTAMENTO EN IRPAVI II,0,44130787,6433059,ENABLED,2,0,2,UC-505035, social. ,24/04/2019,69,0,Inmediata,447,467.38,3067,402,2758,1,505035,2,1,-16.502031,La Paz,-68.082245,$us,Irpavi,0,78000,La Paz,2,Departamento,Venta,,
FDV24253 – COMPRA TU DEPARTAMENTO EN ACHUMANI,0,40002059,5831204,ENABLED,3,1,2,UC-505033, no social con 20% de aporte propio. ,24/04/2019,147,0,Inmediata,1005,1109.16,6897,919,6307,1,505033,2,1,-16.517349,La Paz,-68.060921,$us,Achumani,0,159000,La Paz,2,Departamento,Venta,,
Irpavi,0,40002059,5831204,ENABLED,3,0,3,UC-502900, no social con 20% de aporte propio. ,14/12/2018,157,0,Inmediata,980,1081.26,6723,896,6148,1,502900,2,1,-16.522396,La Paz,-68.087639,$us,Irpavi,0,155000,La Paz,2,Departamento,Venta,,
Final Irpavi,0,48463835,7064699,ENABLED,3,0,3,UC-503612, social. ,14/04/2019,68,0,05/2019,477,474.36,3273,432,2964,1,503612,2,1,-16.504021,La Paz,-68.081261,$us,Irpavi,0,80000,La Paz,1,Departamento,Venta,,2019
Av. Muñoz Reyes calle 29 de cota cota,0,48463835,7064699,ENABLED,3,0,3,UC-503446, social. ,19/04/2019,114,0,Inmediata,680,858.03,4665,616,4224,1,503446,2,1,-16.540392,La Paz,-68.066269,$us,Cota Cota,0,114000,La Paz,2,Departamento,Venta,,2013
Calacoto Calle 9,0,40002059,5831204,ENABLED,5,0,3,UC-501639, no social con 20% de aporte propio. ,02/04/2019,153,0,Inmediata,1075,1200.82,7374,983,6744,1,501639,2,1,-16.54414,La Paz,-68.090683,$us,Calacoto,0,170000,La Paz,1,Departamento,Venta,,2017
FDV25736 – COMPRA ESTE DEPARTAMENTO EN IRPAVI,0,40002059,5831204,ENABLED,4,0,3,UC-509407, no social con 20% de aporte propio. ,24/04/2019,133,0,Inmediata,917,1012.32,6290,838,5752,1,509407,2,1,-16.527239,La Paz,-68.086327,$us,Irpavi,0,145000,La Paz,2,Departamento,Venta,,
LA FLORIDA,0,48463835,7064699,ENABLED,2,0,2,UC-503639, social. ,14/04/2019,100,0,Inmediata,704,830.32,4828,637,4373,1,503639,2,1,-16.550266,La Paz,-68.087006,$us,La Florida,0,118000,La Paz,1,Departamento,Venta,,2018
FDV25465 – COMPRA TU DEPARTAMENTO EN SOPOCACHI,0,48463835,7064699,ENABLED,1,0,1,UC-507226, social. ,24/04/2019,0,0,Inmediata,492,575.98,3376,446,3057,0,507226,2,1,-16.509855,La Paz,-68.125801,$us,Sopocachi,0,82500,La Paz,2,Departamento,Venta,,
Calacoto,0,40002059,5831204,ENABLED,2,0,2,UC-506994, no social con 20% de aporte propio. ,03/01/2019,91,0,Inmediata,822,907.60,5639,752,5157,1,506994,2,1,-16.543009,La Paz,-68.072639,$us,Calacoto,0,130000,La Paz,2,Departamento,Venta,,
FDV25465 – COMPRA TU DEPARTAMENTO EN SOPOCACHI,0,48463835,7064699,ENABLED,1,0,1,UC-507225, social. ,24/04/2019,0,0,Inmediata,492,575.98,3376,446,3057,0,507225,2,1,-16.509855,La Paz,-68.125801,$us,Sopocachi,0,82500,La Paz,2,Departamento,Venta,,
CALLE 26 DE COTA COTA,0,48463835,7064699,ENABLED,3,0,3,UC-508445, social. ,05/02/2019,100,0,Inmediata,668,774.96,4583,605,4150,1,508445,2,1,-16.540854,La Paz,-68.062683,$us,Cota Cota,0,112000,La Paz,2,Departamento,Venta,,2015
Achumani,0,40002059,5831204,ENABLED,4,0,2,UC-509069, no social con 20% de aporte propio. ,15/03/2019,136,0,Inmediata,1069,1179.88,7331,977,6704,1,509069,2,1,-16.526184,La Paz,-68.070305,Bs,Achumani,0,169000,La Paz,1,Departamento,Venta,,2018
