amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,elevator,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,3.0,0,2.0,98,0,0,1,29,-16.522123,-68.060677,Achumani,115000.0,2,Venta,2015.0,alto
0,1.0,0,1.0,49,0,0,1,41,-16.487099,-68.12044499999999,Miraflores,58000.0,1,Venta,2019.0,muy bajo
0,1.0,0,1.0,48,0,0,1,32,-16.539127,-68.07547,Calacoto,83000.0,1,Venta,,bajo
0,4.0,0,4.0,264,0,0,1,32,-16.54501,-68.082726,Calacoto,215000.0,2,Venta,2014.0,bajo
0,4.0,0,3.0,150,0,0,1,35,-16.540731,-68.06289699999999,Cota Cota,115000.0,2,Venta,2000.0,moderado
0,4.0,0,4.0,200,0,0,1,237,-16.540335,-68.08017,San Miguel,370000.0,2,Venta,,bajo
0,2.0,0,4.0,138,0,0,0,44,-16.485885999999997,-68.137466,Centro,89000.0,2,Venta,2011.0,bajo
0,2.0,0,3.0,90,0,0,1,47,-16.513626000000002,-68.129875,Sopocachi,85000.0,2,Venta,1989.0,moderado
0,4.0,0,3.0,222,0,0,2,32,-16.539776,-68.084038,Calacoto,330000.0,1,Venta,2017.0,bajo
0,4.0,1,3.0,210,0,0,2,32,-16.546204,-68.068001,Calacoto,298000.0,2,Venta,,bajo
0,3.0,0,2.0,113,0,0,0,237,-16.543163,-68.078232,San Miguel,160000.0,2,Venta,,bajo
0,3.0,0,2.0,113,0,0,0,237,-16.543163,-68.078232,San Miguel,160000.0,2,Venta,,bajo
0,4.0,0,3.0,160,0,0,1,46,-16.542505,-68.100075,Seguencoma,139520.0,2,Venta,,bajo
0,4.0,1,3.0,210,0,0,2,32,-16.546204,-68.068001,Calacoto,298000.0,2,Venta,,bajo
0,1.0,0,2.0,71,0,0,1,32,-16.542185,-68.083954,Calacoto,79800.0,1,Venta,2008.0,bajo
0,3.0,1,3.0,160,0,0,1,29,-16.535313000000002,-68.072075,Achumani,150000.0,2,Venta,,alto
0,3.0,0,3.0,177,0,0,1,237,-16.541742000000003,-68.078636,San Miguel,187000.0,2,Venta,,bajo
0,1.0,0,1.0,49,0,0,0,46,-16.541954,-68.097305,Seguencoma,62000.0,2,Venta,,bajo
0,2.0,0,2.0,80,0,0,1,180,-16.517925,-68.084183,Alto Irpavi,82000.0,1,Venta,,bajo
0,3.0,1,3.0,160,0,0,1,29,-16.535313000000002,-68.072075,Achumani,150000.0,2,Venta,,alto
0,4.0,0,3.0,160,0,0,1,46,-16.537819,-68.0989,Seguencoma,139520.0,2,Venta,,bajo
0,1.0,0,1.0,56,0,0,0,42,-16.524658,-68.110794,Obrajes,73000.0,1,Venta,2017.0,bajo
0,1.0,0,1.0,49,0,0,0,46,-16.541954,-68.097305,Seguencoma,62000.0,2,Venta,,bajo
0,3.0,0,3.0,92,0,0,1,37,-16.528225,-68.086525,Irpavi,99500.0,1,Venta,2018.0,moderado
0,3.0,0,3.0,135,0,0,1,33,-16.544783,-68.054695,Chasquipampa,140000.0,2,Venta,,bajo
0,4.0,0,4.0,200,0,0,1,29,-16.519768,-68.06163000000001,Achumani,150000.0,1,Venta,2010.0,alto
0,3.0,0,3.0,135,0,0,1,33,-16.544783,-68.054695,Chasquipampa,140000.0,2,Venta,,bajo
0,4.0,0,3.0,168,0,0,1,29,-16.518366,-68.062157,Achumani,169000.0,2,Venta,,alto
0,2.0,0,3.0,98,0,0,1,178,-16.511116,-68.12258100000001,San Jorge,120000.0,2,Venta,1985.0,muy bajo
0,6.0,0,4.0,300,0,0,1,32,-16.537025,-68.074265,Calacoto,320000.0,1,Venta,2018.0,bajo
0,1.0,0,1.0,46,0,0,1,35,-16.545795000000002,-68.063148,Cota Cota,75500.0,2,Venta,,moderado
0,4.0,0,3.0,168,0,0,1,29,-16.518366,-68.062157,Achumani,169000.0,2,Venta,,alto
